keyword,search_volume_estimate,difficulty,intent,priority_score
DEOD rewards,1200,45,informational,75
Decentrawood ecosystem,800,40,informational,70
play-to-earn gaming,1500,55,informational,80
Web3 entertainment,1000,50,informational,68
DEOD token,900,48,transactional,78
NFT gaming rewards,1100,60,informational,72
metaverse rewards,850,52,informational,69
Decentrawood rewards,300,30,commercial,65
DEODHunt,500,35,informational,74
blockchain gaming benefits,600,38,informational,66
D-Nexus social zones,400,30,informational,64
virtual land ownership,700,42,informational,67
how to earn DEOD tokens,550,37,transactional,68
generative AI for NFTs,650,45,informational,66
incentive system in gaming,300,29,informational,63
metaverse gaming events,500,50,informational,65
earning real rewards in gaming,450,33,informational,61
